step,time,u_avg_total,u_avg_cube
139200,408.220734,20.393198,27.431850
139400,408.807251,20.393185,27.422892
139600,409.393799,20.393171,27.413965
139800,409.980316,20.393160,27.405100
140000,410.566833,20.393147,27.396269
140200,411.153351,20.393133,27.387495
140400,411.739868,20.393122,27.378721
140600,412.326416,20.393108,27.369947
140800,412.912933,20.393097,27.361176
141000,413.499451,20.393084,27.352402
141200,414.085968,20.393070,27.343632
141400,414.672516,20.393059,27.334860
141600,415.259033,20.393045,27.326090
141800,415.845551,20.393034,27.317322
142000,416.432068,20.393021,27.308554
142200,417.018585,20.393007,27.299793
142400,417.605133,20.392994,27.291052
142600,418.191650,20.392981,27.282356
142800,418.778168,20.392969,27.273745
143000,419.364685,20.392956,27.265162
143200,419.951202,20.392944,27.256582
143400,420.537750,20.392931,27.248003
143600,421.124268,20.392920,27.239428
143800,421.710785,20.392906,27.230886
144000,422.297302,20.392893,27.222422
144200,422.883850,20.392879,27.214005
144400,423.470367,20.392868,27.205612
144600,424.056885,20.392855,27.197220
144800,424.643402,20.392841,27.188829
145000,425.229919,20.392828,27.180439
145200,425.816467,20.392815,27.172047
145400,426.402985,20.392801,27.163658
145600,426.989502,20.392788,27.155268
145800,427.576019,20.392773,27.146881
146000,428.162567,20.392759,27.138494
146200,428.749084,20.392744,27.130110
146400,429.335602,20.392729,27.121740
146600,429.922119,20.392714,27.113417
146800,430.508636,20.392698,27.105127
147000,431.095184,20.392685,27.096916
147200,431.681702,20.392670,27.088717
147400,432.268219,20.392654,27.080515
147600,432.854736,20.392637,27.072317
147800,433.441284,20.392620,27.064123
148000,434.027802,20.392603,27.055939
148200,434.614319,20.392588,27.047823
148400,435.200836,20.392570,27.039780
148600,435.787354,20.392553,27.031769
148800,436.373901,20.392538,27.023758
149000,436.960419,20.392519,27.015747
149200,437.546936,20.392500,27.007736
149400,438.133453,20.392481,26.999727
149600,438.720001,20.392462,26.991718
149800,439.306519,20.392443,26.983709
150000,439.893036,20.392424,26.975702
150200,440.479553,20.392403,26.967691
150400,441.066071,20.392384,26.959688
150600,441.652618,20.392363,26.951687
150800,442.239136,20.392342,26.943684
151000,442.825653,20.392323,26.935692
151200,443.412170,20.392302,26.927725
151400,443.998718,20.392281,26.919813
151600,444.585236,20.392262,26.911978
151800,445.171753,20.392242,26.904158
152000,445.758270,20.392221,26.896339
152200,446.344788,20.392202,26.888521
152400,446.931335,20.392181,26.880707
152600,447.517853,20.392160,26.872892
152800,448.104370,20.392139,26.865120
153000,448.690887,20.392118,26.857382
153200,449.277405,20.392097,26.849680
153400,449.863953,20.392075,26.842051
153600,450.450470,20.392054,26.834421
153800,451.036987,20.392033,26.826792
